country,date,proportion_alpha,proportion_delta,proportion_original
Germany,2021-12-28,8.887273139635e-10,0.999999999111273,0
Germany,2021-12-29,7.96341437236947e-10,0.999999999203659,0
Germany,2021-12-30,7.13559433762612e-10,0.999999999286441,0
Germany,2021-12-31,6.39382768952146e-10,0.999999999360617,0
Germany,2022-01-01,5.72917047136912e-10,0.999999999427083,0
Germany,2022-01-02,5.1336068729313e-10,0.999999999486639,0
Germany,2022-01-03,4.59995375123867e-10,0.999999999540005,0
Germany,2022-01-04,4.12177403319447e-10,0.999999999587823,0
Germany,2022-01-05,3.69330344085483e-10,0.99999999963067,0
Germany,2022-01-06,3.30937499626316e-10,0.999999999669063,0
Germany,2022-01-07,2.96535462851466e-10,0.999999999703465,0
Germany,2022-01-08,2.65709898528144e-10,0.99999999973429,0
Germany,2022-01-09,2.38088437853889e-10,0.999999999761912,0
Germany,2022-01-10,2.13338458010526e-10,0.999999999786661,0
Germany,2022-01-11,1.91161309004428e-10,0.999999999808839,0
Germany,2022-01-12,1.71289649131268e-10,0.99999999982871,0
Germany,2022-01-13,1.5348344817312e-10,0.999999999846517,0
Germany,2022-01-14,1.37528433086231e-10,0.999999999862472,0
Germany,2022-01-15,1.23231869153528e-10,0.999999999876768,0
Germany,2022-01-16,1.10421671806193e-10,0.999999999889578,0
Germany,2022-01-17,9.8943075954594e-11,0.999999999901057,0
Germany,2022-01-18,8.86575257652567e-11,0.999999999911342,0
Germany,2022-01-19,7.94413423932383e-11,0.999999999920559,0
Germany,2022-01-20,7.11832814914715e-11,0.999999999928817,0
Germany,2022-01-21,6.37834229877399e-11,0.999999999936217,0
Germany,2022-01-22,5.71529490400735e-11,0.999999999942847,0
Germany,2022-01-23,5.12117015460945e-11,0.999999999948788,0
Germany,2022-01-24,4.58881821430168e-11,0.999999999954112,0
Germany,2022-01-25,4.11179978954124e-11,0.999999999958882,0
Germany,2022-01-26,3.68436392506055e-11,0.999999999963156,0
Germany,2022-01-27,3.30135918602537e-11,0.999999999966986,0
Germany,2022-01-28,2.95816704465324e-11,0.999999999970418,0
Germany,2022-01-29,2.65065747129256e-11,0.999999999973493,0
Germany,2022-01-30,2.37512232104109e-11,0.999999999976249,0
Germany,2022-01-31,2.12823092482495e-11,0.999999999978718,0
Germany,2022-02-01,1.90698568047765e-11,0.99999999998093,0
Germany,2022-02-02,1.70874425720058e-11,0.999999999982913,0
Germany,2022-02-03,1.53110857326055e-11,0.999999999984689,0
Germany,2022-02-04,1.37194700045029e-11,0.99999999998628,0
Germany,2022-02-05,1.22932775070694e-11,0.999999999987707,0
Germany,2022-02-06,1.10154108057259e-11,0.999999999988985,0
Germany,2022-02-07,9.87032677812749e-12,0.99999999999013,0
Germany,2022-02-08,8.84425865876892e-12,0.999999999991156,0
Germany,2022-02-09,7.92499399437929e-12,0.999999999992075,0
Germany,2022-02-10,7.1009864655025e-12,0.999999999992899,0
Germany,2022-02-11,6.3629101987317e-12,0.999999999993637,0
Germany,2022-02-12,5.70143932066003e-12,0.999999999994299,0
Germany,2022-02-13,5.10880227011512e-12,0.999999999994891,0
Germany,2022-02-14,4.57767157513445e-12,0.999999999995422,0
Germany,2022-02-15,4.1018299867801e-12,0.999999999995898,0
Germany,2022-02-16,3.67550434532404e-12,0.999999999996325,0
Germany,2022-02-17,3.29336558024806e-12,0.999999999996707,0
Germany,2022-02-18,2.95097279945367e-12,0.999999999997049,0
Germany,2022-02-19,2.6443292000522e-12,0.999999999997356,0
Germany,2022-02-20,2.36943797915501e-12,0.999999999997631,0
Germany,2022-02-21,2.12296846768822e-12,0.999999999997877,0
Germany,2022-02-22,1.90247817499767e-12,0.999999999998098,0
Germany,2022-02-23,1.70463643200947e-12,0.999999999998295,0
Germany,2022-02-24,1.52744483727929e-12,0.999999999998473,0
Germany,2022-02-25,1.36868294475789e-12,0.999999999998631,0
Germany,2022-02-26,1.22635235300095e-12,0.999999999998774,0
Germany,2022-02-27,1.09889874977398e-12,0.999999999998901,0
Germany,2022-02-28,9.84545778237589e-13,0.999999999999016,0
Germany,2022-03-01,8.82183215367149e-13,0.999999999999118,0
Germany,2022-03-02,7.90478793533112e-13,0.99999999999921,0
